region,sku,capacity_unit,pay_go_hour,reservation_hour
Germany West Central,F4,4,0.88,0.52
Germany West Central,F8,8,1.76,1.05
Germany West Central,F16,16,3.52,2.09
Germany West Central,F32,32,7.04,4.19
Germany West Central,F64,64,14.08,8.37
Germany West Central,FT1,64,14.08,8.37
Germany West Central,F128,128,28.16,16.75
Germany West Central,F256,256,56.32,33.49
Germany West Central,F512,512,112.64,66.98
Germany West Central,F1024,1024,225.28,133.96
Germany West Central,F2048,2048,450.56,267.92
Israel Central,F2,2,0.42,
Israel Central,F4,4,0.84,
Israel Central,F8,8,1.68,
Israel Central,F16,16,3.36,
Israel Central,F32,32,6.72,
Israel Central,F64,64,13.44,
Israel Central,FT1,64,13.44,
Israel Central,F128,128,26.88,
Israel Central,F256,256,53.76,
Israel Central,F512,512,107.52,
Israel Central,F1024,1024,215.04,
Israel Central,F2048,2048,430.08,
Italy North,F2,2,0.42,0.25
Italy North,F4,4,0.84,0.50
Italy North,F8,8,1.68,1.00
Italy North,F16,16,3.36,2.00
Italy North,F32,32,6.72,4.00
Italy North,F64,64,13.44,7.99
Italy North,FT1,64,13.44,7.99
Italy North,F128,128,26.88,15.99
Italy North,F256,256,53.76,31.97
Italy North,F512,512,107.52,63.94
Italy North,F1024,1024,215.04,127.88
Italy North,F2048,2048,430.08,255.77
Japan East,F2,2,0.42,0.25
Japan East,F4,4,0.84,0.50
Japan East,F8,8,1.68,1.00
Japan East,F16,16,3.36,2.00
Japan East,F32,32,6.72,4.00
Japan East,F64,64,13.44,7.99
Japan East,FT1,64,13.44,7.99
Japan East,F128,128,26.88,15.99
Japan East,F256,256,53.76,31.97
Japan East,F512,512,107.52,63.94
Japan East,F1024,1024,215.04,127.88
Japan East,F2048,2048,430.08,255.77
Japan West,F2,2,0.42,
Japan West,F4,4,0.84,
Japan West,F8,8,1.68,
Japan West,F16,16,3.36,
Japan West,F32,32,6.72,
Japan West,F64,64,13.44,
Japan West,FT1,64,13.44,
Japan West,F128,128,26.88,
Japan West,F256,256,53.76,
Japan West,F512,512,107.52,
Japan West,F1024,1024,215.04,
Japan West,F2048,2048,430.08,
Korea Central,F2,2,0.42,0.25
Korea Central,F4,4,0.84,0.50
Korea Central,F8,8,1.68,1.00
Korea Central,F16,16,3.36,2.00
Korea Central,F32,32,6.72,4.00
Korea Central,F64,64,13.44,7.99
Korea Central,FT1,64,13.44,7.99
Korea Central,F128,128,26.88,15.99
Korea Central,F256,256,53.76,31.97
Korea Central,F512,512,107.52,63.94
Korea Central,F1024,1024,215.04,127.88
Korea Central,F2048,2048,430.08,255.77
Korea South,F2,2,0.56,
Korea South,F4,4,1.12,
Korea South,F8,8,2.24,
Korea South,F16,16,4.48,
Korea South,F32,32,8.96,
Korea South,F64,64,17.92,
Korea South,FT1,64,17.92,
Korea South,F128,128,35.84,
Korea South,F256,256,71.68,
Korea South,F512,512,143.36,
Korea South,F1024,1024,286.72,
Korea South,F2048,2048,573.44,
North Central US,F2,2,0.36,0.22
North Central US,F4,4,0.72,0.43
North Central US,F8,8,1.44,0.86
North Central US,F16,16,2.88,1.71
North Central US,F32,32,5.76,3.43
North Central US,F64,64,11.52,6.85
North Central US,FT1,64,11.52,6.85
North Central US,F128,128,23.04,13.71
North Central US,F256,256,46.08,27.41
North Central US,F512,512,92.16,54.82
North Central US,F1024,1024,184.32,109.65
North Central US,F2048,2048,368.64,219.30
North Europe,F2,2,0.38,0.23
North Europe,F4,4,0.76,0.45
North Europe,F8,8,1.52,0.91
North Europe,F16,16,3.04,1.81
North Europe,F32,32,6.08,3.62
North Europe,F64,64,12.16,7.23
North Europe,FT1,64,12.16,7.23
North Europe,F128,128,24.32,14.47
North Europe,F256,256,48.64,28.93
North Europe,F512,512,97.28,57.86
North Europe,F1024,1024,194.56,115.73
North Europe,F2048,2048,389.12,231.45
Norway East,F2,2,0.48,0.29
Norway East,F4,4,0.96,0.57
Norway East,F8,8,1.92,1.14
Norway East,F16,16,3.84,2.28
Norway East,F32,32,7.68,4.57
Norway East,F64,64,15.36,9.13
Norway East,FT1,64,15.36,9.13
Norway East,F128,128,30.72,18.27
Norway East,F256,256,61.44,36.53
Norway East,F512,512,122.88,73.06
Norway East,F1024,1024,245.76,146.12
Norway East,F2048,2048,491.52,292.24
Norway West,F2,2,0.62,
Norway West,F4,4,1.24,
Norway West,F8,8,2.48,
Norway West,F16,16,4.96,
Norway West,F32,32,9.92,
Norway West,F64,64,19.84,
Norway West,FT1,64,19.84,
Norway West,F128,128,39.68,
Norway West,F256,256,79.36,
Norway West,F512,512,158.72,
Norway West,F1024,1024,317.44,
Norway West,F2048,2048,634.88,
Poland Central,F2,2,0.48,0.29
Poland Central,F4,4,0.96,0.57
Poland Central,F8,8,1.92,1.14
Poland Central,F16,16,3.84,2.28
Poland Central,F32,32,7.68,4.57
Poland Central,F64,64,15.36,9.13
Poland Central,FT1,64,15.36,9.13
Poland Central,F128,128,30.72,18.27
Poland Central,F256,256,61.44,36.53
Poland Central,F512,512,122.88,73.06
Poland Central,F1024,1024,245.76,146.12
Poland Central,F2048,2048,491.52,292.24
Qatar Central,F2,2,0.44,
Qatar Central,F4,4,0.88,
Qatar Central,F8,8,1.76,
Qatar Central,F16,16,3.52,
Qatar Central,F32,32,7.04,
Qatar Central,F64,64,14.08,
Qatar Central,FT1,64,14.08,
Qatar Central,F128,128,28.16,
Qatar Central,F256,256,56.32,
Qatar Central,F512,512,112.64,
Qatar Central,F1024,1024,225.28,
Qatar Central,F2048,2048,450.56,
South Africa North,F2,2,0.48,0.29
South Africa North,F4,4,0.96,0.57
South Africa North,F8,8,1.92,1.14
South Africa North,F16,16,3.84,2.28
South Africa North,F32,32,7.68,4.57
South Africa North,F64,64,15.36,9.13
South Africa North,FT1,64,15.36,9.13
South Africa North,F128,128,30.72,18.27
South Africa North,F256,256,61.44,36.53
South Africa North,F512,512,122.88,73.06
South Africa North,F1024,1024,245.76,146.12
South Africa North,F2048,2048,491.52,292.24
South Africa West,F2,2,0.62,
South Africa West,F4,4,1.24,
South Africa West,F8,8,2.48,
South Africa West,F16,16,4.96,
South Africa West,F32,32,9.92,
South Africa West,F64,64,19.84,
South Africa West,FT1,64,19.84,
South Africa West,F128,128,39.68,
South Africa West,F256,256,79.36,
South Africa West,F512,512,158.72,
South Africa West,F1024,1024,317.44,
South Africa West,F2048,2048,634.88,
South Central US,F2,2,0.36,0.22
South Central US,F4,4,0.72,0.43
South Central US,F8,8,1.44,0.86
South Central US,F16,16,2.88,1.71
South Central US,F32,32,5.76,3.43
South Central US,F64,64,11.52,6.85
South Central US,FT1,64,11.52,6.85
South Central US,F128,128,23.04,13.71
South Central US,F256,256,46.08,27.41
South Central US,F512,512,92.16,54.82
